"326" "anglo cargo" "\n" "" "anc" "anglo" "united kingdom" "n"
"327" "air nostrum" "\n" "yw" "ane" "air nostrum" "spain" "y"
"328" "air niugini" "\n" "px" "ang" "nuigini" "papua new guinea" "y"
"329" "air arabia" "\n" "g9" "aby" "arabia" "united arab emirates" "y"
"330" "air canada" "\n" "ac" "aca" "air canada" "canada" "y"
"331" "airport bratsk" "\n" "" "brp" "aerobra" "russia" "n"
"332" "air wings" "\n" "" "bsb" "arbas" "moldova" "n"
"333" "air baltic" "\n" "bt" "bti" "airbaltic" "latvia" "y"
"334" "alajnihah for air transport" "\n" "" "anh" "alajnihah" "libya" "n"
"335" "air atlantic (nig) limited" "\n" "" "ani" "nigalantic" "nigeria" "n"
"336" "air nippon" "\n" "el" "ank" "ank air" "japan" "y"
"337" "antares airtransport" "\n" "" "anm" "maintenance & service gmbh" "antares" "n"
"338" "airnorth" "\n" "tl" "ano" "topend" "australia" "y"
"339" "aerol" "\n" "" "anq" "antioquia" "colombia" "n"
"340" "andes lineas aereas" "\n" "" "ans" "aeroandes" "argentina" "n"
"341" "air north charter - canada" "\n" "4n" "ant" "air north" "canada" "y"
"342" "air nevada" "\n" "" "anv" "air nevada" "united states" "n"
"343" "aom french airlines" "\n" "iw" "aom" "french lines" "france" "n"
"344" "aviacion del noroeste" "\n" "" "anw" "s.a. de c.v." "avinor" "n"
"345" "air new zealand" "\n" "nz" "anz" "new zealand" "new zealand" "y"
"346" "avia jaynar" "\n" "" "sap" "tobol" "kazakhstan" "n"
"347" "aero servicios empresariales" "\n" "" "ems" "serviempresarial" "mexico" "n"
"348" "alcon servicios aereos" "\n" "" "aoa" "s.a. de c.v." "alcon" "n"
"349" "avcom" "\n" "j6" "aoc" "aero avcom" "russia" "n"
"350" "aero vodochody" "\n" "" "aod" "aero czech" "czech republic" "n"
"351" "air one executive" "\n" "" "aoe" "" "italy" "n"
"352" "atair pty ltd." "\n" "" "aof" "atair" "south africa" "n"
"353" "aero vip" "\n" "2d" "aog" "avip" "argentina" "n"
"354" "aeromundo ejecutivo" "\n" "" "mun" "aeromundo" "mexico" "n"
"355" "aerolinea muri" "\n" "" "mur" "muri" "mexico" "n"
"356" "astoria" "\n" "" "aoi" "inc." "astoria" "n"
"357" "aero rent jsc" "\n" "" "nro" "aeromaster" "russia" "n"
"358" "aeronord-grup" "\n" "" "nrp" "aeronord" "moldova" "n"
"359" "aeroatlantico colombia" "\n" "" "aok" "" "colombia" "n"
"360" "angkor airlines" "\n" "" "aol" "angkor air" "cambodia" "n"
"361" "aero entreprise" "\n" "" "aon" "aero enterprise" "france" "n"
"362" "as" "\n" "" "aoo" "opened joint stock company" "company as" "n"
"363" "aeropiloto" "\n" "" "aop" "aeropiloto" "portugal" "n"
"364" "aeroenlaces nacionales" "\n" "" "viv" "aeroenlaces" "mexico" "n"
"365" "aerovis airlines" "\n" "" "viz" "aeroviz" "ukraine" "n"
"366" "avjet international (fze)" "\n" "" "vje" "" "united arab emirates" "n"
"367" "aerovista gulf express" "\n" "" "vgf" "vista gulf" "united arab emirates" "n"
"368" "air vegas" "\n" "6v" "vga" "air vegas" "united states" "n"
"369" "almaver" "\n" "" "ver" "almaver" "mexico" "n"
"370" "afro international ent. limited" "\n" "" "aor" "inter-afro" "nigeria" "n"
"371" "alitalia express" "\n" "xm" "smx" "aliexpress" "italy" "y"
"372" "asia overnight express" "\n" "oe" "aot" "asia overnight" "philippines" "n"
"373" "air tractor" "\n" "" "aou" "air tractor" "croatia" "n"
"374" "aero vision" "\n" "" "aov" "aerovision" "france" "n"
"375" "aerotaxi del valle" "\n" "" "aox" "aerovalle" "colombia" "n"
"376" "air park aviation ltd." "\n" "" "apa" "can-am" "canada" "n"
"377" "airpac airlines" "\n" "" "apc" "inc." "airpac" "n"
"378" "aeroservicios monterrey" "\n" "" "svm" "servimonte" "mexico" "n"
"379" "amapola flyg ab" "\n" "" "apf" "amapola" "sweden" "n"
"380" "air people international" "\n" "" "apg" "air people" "thailand" "n"
"381" "alpha aviation" "\n" "" "aph" "inc." "airflight" "n"
"382" "asa pesada" "\n" "" "api" "lda." "asa pesada" "n"
"383" "air print" "\n" "" "apj" "s.a." "air print" "n"
"384" "atlantic airlines" "\n" "" "bjk" "blackjack" "united states" "n"
"385" "aerotransporte petrolero" "\n" "" "pet" "aeropetro" "colombia" "n"
"386" "aero flight" "\n" "gv" "arf" "aero fox" "germany" "y"
